"District","FIPS","Year","Special Education Status","Variable","Measure Type","Value"
"East Hampton School District","900722490","2009-2010","Students with Disabilities","Suspensions","Percent","6.7"
"East Hampton School District","900722490","2010-2011","Students with Disabilities","Suspensions","Percent","8.5"
"East Hampton School District","900722490","2011-2012","Students with Disabilities","Suspensions","Percent","6.1"
"East Hampton School District","900722490","2012-2013","Students with Disabilities","Suspensions","Percent","7.7"
"East Hampton School District","900722490","2013-2014","Students with Disabilities","Suspensions","Percent","8.2"
"East Hampton School District","900722490","2014-2015","Students with Disabilities","Suspensions","Percent","7.8"
"East Hampton School District","900722490","2015-2016","Students with Disabilities","Suspensions","Percent","10.6"
"East Hampton School District","900722490","2016-2017","Students with Disabilities","Suspensions","Percent","8.6"
"East Hampton School District","900722490","2017-2018","Students with Disabilities","Suspensions","Percent","7.2"
"East Hartford School District","900322630","2009-2010","Students with Disabilities","Suspensions","Percent","18.6"
"East Hartford School District","900322630","2010-2011","Students with Disabilities","Suspensions","Percent","19.7"
"East Hartford School District","900322630","2011-2012","Students with Disabilities","Suspensions","Percent","24.0"
"East Hartford School District","900322630","2012-2013","Students with Disabilities","Suspensions","Percent","21.4"
"East Hartford School District","900322630","2013-2014","Students with Disabilities","Suspensions","Percent","19.6"
"East Hartford School District","900322630","2014-2015","Students with Disabilities","Suspensions","Percent","16.5"
"East Hartford School District","900322630","2015-2016","Students with Disabilities","Suspensions","Percent","14.2"
"East Hartford School District","900322630","2016-2017","Students with Disabilities","Suspensions","Percent","16.0"
"East Hartford School District","900322630","2017-2018","Students with Disabilities","Suspensions","Percent","15.3"
"East Haven School District","900922910","2009-2010","Students with Disabilities","Suspensions","Percent","11.0"
"East Haven School District","900922910","2010-2011","Students with Disabilities","Suspensions","Percent","17.3"
"East Haven School District","900922910","2011-2012","Students with Disabilities","Suspensions","Percent","14.4"
"East Haven School District","900922910","2012-2013","Students with Disabilities","Suspensions","Percent","10.9"
"East Haven School District","900922910","2013-2014","Students with Disabilities","Suspensions","Percent","13.3"
"East Haven School District","900922910","2014-2015","Students with Disabilities","Suspensions","Percent","10.9"
"East Haven School District","900922910","2015-2016","Students with Disabilities","Suspensions","Percent","12.9"
"East Haven School District","900922910","2016-2017","Students with Disabilities","Suspensions","Percent","12.9"
"East Haven School District","900922910","2017-2018","Students with Disabilities","Suspensions","Percent","8.7"
"East Lyme School District","901123400","2009-2010","Students with Disabilities","Suspensions","Percent","7.5"
"East Lyme School District","901123400","2010-2011","Students with Disabilities","Suspensions","Percent","6.0"
"East Lyme School District","901123400","2011-2012","Students with Disabilities","Suspensions","Percent","7.4"
"East Lyme School District","901123400","2012-2013","Students with Disabilities","Suspensions","Percent","7.4"
"East Lyme School District","901123400","2013-2014","Students with Disabilities","Suspensions","Percent","5.4"
"East Lyme School District","901123400","2014-2015","Students with Disabilities","Suspensions","Percent","7.2"
"East Lyme School District","901123400","2015-2016","Students with Disabilities","Suspensions","Percent","6.9"
"East Lyme School District","901123400","2016-2017","Students with Disabilities","Suspensions","Percent","5.0"
"East Lyme School District","901123400","2017-2018","Students with Disabilities","Suspensions","Percent","5.6"
"East Windsor School District","900324800","2009-2010","Students with Disabilities","Suspensions","Percent","18.3"
"East Windsor School District","900324800","2010-2011","Students with Disabilities","Suspensions","Percent","18.3"
"East Windsor School District","900324800","2011-2012","Students with Disabilities","Suspensions","Percent","19.3"
"East Windsor School District","900324800","2012-2013","Students with Disabilities","Suspensions","Percent","16.3"
"East Windsor School District","900324800","2013-2014","Students with Disabilities","Suspensions","Percent","13.2"
"East Windsor School District","900324800","2014-2015","Students with Disabilities","Suspensions","Percent","11.4"
"East Windsor School District","900324800","2015-2016","Students with Disabilities","Suspensions","Percent","10.0"
"East Windsor School District","900324800","2016-2017","Students with Disabilities","Suspensions","Percent","10.5"
"East Windsor School District","900324800","2017-2018","Students with Disabilities","Suspensions","Percent","15.9"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","","2009-2010","Students with Disabilities","Suspensions","Percent","16.9"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","","2010-2011","Students with Disabilities","Suspensions","Percent","20.8"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","","2011-2012","Students with Disabilities","Suspensions","Percent","13.1"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","","2012-2013","Students with Disabilities","Suspensions","Percent","12.3"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","","2013-2014","Students with Disabilities","Suspensions","Percent","-6666"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","","2014-2015","Students with Disabilities","Suspensions","Percent","11.8"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","","2015-2016","Students with Disabilities","Suspensions","Percent","18.9"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","","2016-2017","Students with Disabilities","Suspensions","Percent","17.5"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","","2017-2018","Students with Disabilities","Suspensions","Percent","16.2"
"Eastford School District","","2009-2010","Students with Disabilities","Suspensions","Percent","-6666"
"Eastford School District","","2010-2011","Students with Disabilities","Suspensions","Percent","-6666"
"Eastford School District","","2011-2012","Students with Disabilities","Suspensions","Percent","-6666"
"Eastford School District","","2012-2013","Students with Disabilities","Suspensions","Percent","-9999"
"Eastford School District","","2013-2014","Students with Disabilities","Suspensions","Percent","-9999"
"Eastford School District","","2014-2015","Students with Disabilities","Suspensions","Percent","-9999"
"Eastford School District","","2015-2016","Students with Disabilities","Suspensions","Percent","-9999"
"Eastford School District","","2016-2017","Students with Disabilities","Suspensions","Percent","-9999"
"Eastford School District","","2017-2018","Students with Disabilities","Suspensions","Percent","-9999"
"Easton School District","","2009-2010","Students with Disabilities","Suspensions","Percent","-9999"
"Easton School District","","2010-2011","Students with Disabilities","Suspensions","Percent","-9999"
"Easton School District","","2011-2012","Students with Disabilities","Suspensions","Percent","-9999"
"Easton School District","","2012-2013","Students with Disabilities","Suspensions","Percent","-9999"
"Easton School District","","2013-2014","Students with Disabilities","Suspensions","Percent","-9999"
"Easton School District","","2014-2015","Students with Disabilities","Suspensions","Percent","-9999"
"Easton School District","","2015-2016","Students with Disabilities","Suspensions","Percent","-9999"
"Easton School District","","2016-2017","Students with Disabilities","Suspensions","Percent","-9999"
"Easton School District","","2017-2018","Students with Disabilities","Suspensions","Percent","-9999"
"EdAdvance","","2016-2017","Students with Disabilities","Suspensions","Percent","-9999"
"EdAdvance","","2017-2018","Students with Disabilities","Suspensions","Percent","9.1"
"Education Connection","","2009-2010","Students with Disabilities","Suspensions","Percent","16.7"
"Education Connection","","2010-2011","Students with Disabilities","Suspensions","Percent","-9999"
"Education Connection","","2011-2012","Students with Disabilities","Suspensions","Percent","-6666"
"Education Connection","","2012-2013","Students with Disabilities","Suspensions","Percent","18.9"
"Education Connection","","2013-2014","Students with Disabilities","Suspensions","Percent","50.0"
"Education Connection","","2014-2015","Students with Disabilities","Suspensions","Percent","34.0"
"Education Connection","","2015-2016","Students with Disabilities","Suspensions","Percent","27.1"
"Ellington School District","901325360","2009-2010","Students with Disabilities","Suspensions","Percent","9.3"
"Ellington School District","901325360","2010-2011","Students with Disabilities","Suspensions","Percent","12.6"
"Ellington School District","901325360","2011-2012","Students with Disabilities","Suspensions","Percent","11.2"
"Ellington School District","901325360","2012-2013","Students with Disabilities","Suspensions","Percent","10.7"
"Ellington School District","901325360","2013-2014","Students with Disabilities","Suspensions","Percent","7.6"
"Ellington School District","901325360","2014-2015","Students with Disabilities","Suspensions","Percent","10.9"
"Ellington School District","901325360","2015-2016","Students with Disabilities","Suspensions","Percent","12.9"
"Ellington School District","901325360","2016-2017","Students with Disabilities","Suspensions","Percent","13.9"
"Ellington School District","901325360","2017-2018","Students with Disabilities","Suspensions","Percent","8.6"
"Elm City College Preparatory School District","","2009-2010","Students with Disabilities","Suspensions","Percent","21.4"
"Elm City College Preparatory School District","","2010-2011","Students with Disabilities","Suspensions","Percent","23.1"
"Elm City College Preparatory School District","","2011-2012","Students with Disabilities","Suspensions","Percent","35.1"
"Elm City College Preparatory School District","","2012-2013","Students with Disabilities","Suspensions","Percent","41.3"
"Elm City College Preparatory School District","","2013-2014","Students with Disabilities","Suspensions","Percent","44.9"
"Elm City College Preparatory School District","","2014-2015","Students with Disabilities","Suspensions","Percent","22.2"
"Elm City College Preparatory School District","","2015-2016","Students with Disabilities","Suspensions","Percent","24.5"
"Elm City College Preparatory School District","","2016-2017","Students with Disabilities","Suspensions","Percent","20.7"
"Elm City College Preparatory School District","","2017-2018","Students with Disabilities","Suspensions","Percent","25.4"
"Elm City Montessori School District","","2014-2015","Students with Disabilities","Suspensions","Percent","-9999"
"Elm City Montessori School District","","2015-2016","Students with Disabilities","Suspensions","Percent","-9999"
"Elm City Montessori School District","","2016-2017","Students with Disabilities","Suspensions","Percent","-9999"
"Elm City Montessori School District","","2017-2018","Students with Disabilities","Suspensions","Percent","-9999"
"Enfield School District","900325990","2009-2010","Students with Disabilities","Suspensions","Percent","7.8"
"Enfield School District","900325990","2010-2011","Students with Disabilities","Suspensions","Percent","13.0"
"Enfield School District","900325990","2011-2012","Students with Disabilities","Suspensions","Percent","14.5"
"Enfield School District","900325990","2012-2013","Students with Disabilities","Suspensions","Percent","15.4"
"Enfield School District","900325990","2013-2014","Students with Disabilities","Suspensions","Percent","14.2"
"Enfield School District","900325990","2014-2015","Students with Disabilities","Suspensions","Percent","15.6"
"Enfield School District","900325990","2015-2016","Students with Disabilities","Suspensions","Percent","12.9"
"Enfield School District","900325990","2016-2017","Students with Disabilities","Suspensions","Percent","12.4"
"Enfield School District","900325990","2017-2018","Students with Disabilities","Suspensions","Percent","13.4"
"Essex School District","","2009-2010","Students with Disabilities","Suspensions","Percent","-6666"
"Essex School District","","2010-2011","Students with Disabilities","Suspensions","Percent","-9999"
"Essex School District","","2011-2012","Students with Disabilities","Suspensions","Percent","-6666"
"Essex School District","","2012-2013","Students with Disabilities","Suspensions","Percent","-6666"
"Essex School District","","2013-2014","Students with Disabilities","Suspensions","Percent","-6666"
"Essex School District","","2014-2015","Students with Disabilities","Suspensions","Percent","-6666"
"Essex School District","","2015-2016","Students with Disabilities","Suspensions","Percent","-6666"
"Essex School District","","2016-2017","Students with Disabilities","Suspensions","Percent","-9999"
"Essex School District","","2017-2018","Students with Disabilities","Suspensions","Percent","-9999"
"Explorations District","","2009-2010","Students with Disabilities","Suspensions","Percent","-9999"
"Explorations District","","2010-2011","Students with Disabilities","Suspensions","Percent","-9999"
"Explorations District","","2011-2012","Students with Disabilities","Suspensions","Percent","-9999"
"Explorations District","","2012-2013","Students with Disabilities","Suspensions","Percent","-9999"
"Explorations District","","2013-2014","Students with Disabilities","Suspensions","Percent","23.1"
"Explorations District","","2014-2015","Students with Disabilities","Suspensions","Percent","18.2"
"Explorations District","","2015-2016","Students with Disabilities","Suspensions","Percent","22.9"
"Explorations District","","2016-2017","Students with Disabilities","Suspensions","Percent","-9999"
"Explorations District","","2017-2018","Students with Disabilities","Suspensions","Percent","21.1"
"Fairfield School District","900126620","2009-2010","Students with Disabilities","Suspensions","Percent","4.1"
"Fairfield School District","900126620","2010-2011","Students with Disabilities","Suspensions","Percent","4.3"
"Fairfield School District","900126620","2011-2012","Students with Disabilities","Suspensions","Percent","3.8"
"Fairfield School District","900126620","2012-2013","Students with Disabilities","Suspensions","Percent","4.5"
"Fairfield School District","900126620","2013-2014","Students with Disabilities","Suspensions","Percent","4.5"
"Fairfield School District","900126620","2014-2015","Students with Disabilities","Suspensions","Percent","3.9"
"Fairfield School District","900126620","2015-2016","Students with Disabilities","Suspensions","Percent","4.6"
"Fairfield School District","900126620","2016-2017","Students with Disabilities","Suspensions","Percent","4.1"
"Fairfield School District","900126620","2017-2018","Students with Disabilities","Suspensions","Percent","4.7"
"Farmington School District","900327600","2009-2010","Students with Disabilities","Suspensions","Percent","7.2"
"Farmington School District","900327600","2010-2011","Students with Disabilities","Suspensions","Percent","5.6"
"Farmington School District","900327600","2011-2012","Students with Disabilities","Suspensions","Percent","3.3"
"Farmington School District","900327600","2012-2013","Students with Disabilities","Suspensions","Percent","5.1"
"Farmington School District","900327600","2013-2014","Students with Disabilities","Suspensions","Percent","5.3"
"Farmington School District","900327600","2014-2015","Students with Disabilities","Suspensions","Percent","4.8"
"Farmington School District","900327600","2015-2016","Students with Disabilities","Suspensions","Percent","4.4"
"Farmington School District","900327600","2016-2017","Students with Disabilities","Suspensions","Percent","2.8"
"Farmington School District","900327600","2017-2018","Students with Disabilities","Suspensions","Percent","3.0"
"Franklin School District","","2009-2010","Students with Disabilities","Suspensions","Percent","-6666"
"Franklin School District","","2010-2011","Students with Disabilities","Suspensions","Percent","-6666"
"Franklin School District","","2011-2012","Students with Disabilities","Suspensions","Percent","-6666"
"Franklin School District","","2012-2013","Students with Disabilities","Suspensions","Percent","-9999"
"Franklin School District","","2013-2014","Students with Disabilities","Suspensions","Percent","-6666"
"Franklin School District","","2014-2015","Students with Disabilities","Suspensions","Percent","-9999"
"Franklin School District","","2015-2016","Students with Disabilities","Suspensions","Percent","25.0"
"Franklin School District","","2016-2017","Students with Disabilities","Suspensions","Percent","-9999"
"Franklin School District","","2017-2018","Students with Disabilities","Suspensions","Percent","-9999"
"Glastonbury School District","900331240","2009-2010","Students with Disabilities","Suspensions","Percent","6.9"
"Glastonbury School District","900331240","2010-2011","Students with Disabilities","Suspensions","Percent","5.8"
"Glastonbury School District","900331240","2011-2012","Students with Disabilities","Suspensions","Percent","5.7"
"Glastonbury School District","900331240","2012-2013","Students with Disabilities","Suspensions","Percent","5.6"
"Glastonbury School District","900331240","2013-2014","Students with Disabilities","Suspensions","Percent","7.7"
"Glastonbury School District","900331240","2014-2015","Students with Disabilities","Suspensions","Percent","5.5"
"Glastonbury School District","900331240","2015-2016","Students with Disabilities","Suspensions","Percent","3.8"
"Glastonbury School District","900331240","2016-2017","Students with Disabilities","Suspensions","Percent","6.1"
"Glastonbury School District","900331240","2017-2018","Students with Disabilities","Suspensions","Percent","6.4"
"Granby School District","900332640","2009-2010","Students with Disabilities","Suspensions","Percent","-9999"
"Granby School District","900332640","2010-2011","Students with Disabilities","Suspensions","Percent","4.2"
"Granby School District","900332640","2011-2012","Students with Disabilities","Suspensions","Percent","3.6"
"Granby School District","900332640","2012-2013","Students with Disabilities","Suspensions","Percent","4.3"
"Granby School District","900332640","2013-2014","Students with Disabilities","Suspensions","Percent","4.6"
"Granby School District","900332640","2014-2015","Students with Disabilities","Suspensions","Percent","9.1"
"Granby School District","900332640","2015-2016","Students with Disabilities","Suspensions","Percent","10.1"
"Granby School District","900332640","2016-2017","Students with Disabilities","Suspensions","Percent","10.2"
"Granby School District","900332640","2017-2018","Students with Disabilities","Suspensions","Percent","5.6"
"Great Oaks Charter School District","","2014-2015","Students with Disabilities","Suspensions","Percent","-9999"
"Great Oaks Charter School District","","2015-2016","Students with Disabilities","Suspensions","Percent","57.9"
"Great Oaks Charter School District","","2016-2017","Students with Disabilities","Suspensions","Percent","58.3"
"Great Oaks Charter School District","","2017-2018","Students with Disabilities","Suspensions","Percent","42.5"
"Greenwich School District","900133620","2009-2010","Students with Disabilities","Suspensions","Percent","6.5"
"Greenwich School District","900133620","2010-2011","Students with Disabilities","Suspensions","Percent","7.6"
"Greenwich School District","900133620","2011-2012","Students with Disabilities","Suspensions","Percent","7.1"
"Greenwich School District","900133620","2012-2013","Students with Disabilities","Suspensions","Percent","6.0"
"Greenwich School District","900133620","2013-2014","Students with Disabilities","Suspensions","Percent","5.1"
"Greenwich School District","900133620","2014-2015","Students with Disabilities","Suspensions","Percent","4.3"
"Greenwich School District","900133620","2015-2016","Students with Disabilities","Suspensions","Percent","4.5"
"Greenwich School District","900133620","2016-2017","Students with Disabilities","Suspensions","Percent","5.8"
"Greenwich School District","900133620","2017-2018","Students with Disabilities","Suspensions","Percent","6.1"
"Griswold School District","901133900","2009-2010","Students with Disabilities","Suspensions","Percent","17.3"
"Griswold School District","901133900","2010-2011","Students with Disabilities","Suspensions","Percent","21.1"
"Griswold School District","901133900","2011-2012","Students with Disabilities","Suspensions","Percent","18.2"
"Griswold School District","901133900","2012-2013","Students with Disabilities","Suspensions","Percent","13.3"
"Griswold School District","901133900","2013-2014","Students with Disabilities","Suspensions","Percent","12.7"
"Griswold School District","901133900","2014-2015","Students with Disabilities","Suspensions","Percent","17.4"
"Griswold School District","901133900","2015-2016","Students with Disabilities","Suspensions","Percent","12.3"
"Griswold School District","901133900","2016-2017","Students with Disabilities","Suspensions","Percent","12.3"
"Griswold School District","901133900","2017-2018","Students with Disabilities","Suspensions","Percent","10.9"
"Groton School District","901134250","2009-2010","Students with Disabilities","Suspensions","Percent","10.1"
"Groton School District","901134250","2010-2011","Students with Disabilities","Suspensions","Percent","12.6"
"Groton School District","901134250","2011-2012","Students with Disabilities","Suspensions","Percent","13.1"
"Groton School District","901134250","2012-2013","Students with Disabilities","Suspensions","Percent","14.5"
"Groton School District","901134250","2013-2014","Students with Disabilities","Suspensions","Percent","14.1"
"Groton School District","901134250","2014-2015","Students with Disabilities","Suspensions","Percent","15.3"
"Groton School District","901134250","2015-2016","Students with Disabilities","Suspensions","Percent","15.1"
"Groton School District","901134250","2016-2017","Students with Disabilities","Suspensions","Percent","12.9"
"Groton School District","901134250","2017-2018","Students with Disabilities","Suspensions","Percent","14.3"
"Guilford School District","900934950","2009-2010","Students with Disabilities","Suspensions","Percent","3.8"
"Guilford School District","900934950","2010-2011","Students with Disabilities","Suspensions","Percent","5.9"
"Guilford School District","900934950","2011-2012","Students with Disabilities","Suspensions","Percent","8.0"
"Guilford School District","900934950","2012-2013","Students with Disabilities","Suspensions","Percent","6.9"
"Guilford School District","900934950","2013-2014","Students with Disabilities","Suspensions","Percent","4.1"
"Guilford School District","900934950","2014-2015","Students with Disabilities","Suspensions","Percent","4.8"
"Guilford School District","900934950","2015-2016","Students with Disabilities","Suspensions","Percent","5.2"
"Guilford School District","900934950","2016-2017","Students with Disabilities","Suspensions","Percent","3.6"
"Guilford School District","900934950","2017-2018","Students with Disabilities","Suspensions","Percent","4.7"
"Hamden School District","900935650","2009-2010","Students with Disabilities","Suspensions","Percent","18.3"
"Hamden School District","900935650","2010-2011","Students with Disabilities","Suspensions","Percent","18.3"
"Hamden School District","900935650","2011-2012","Students with Disabilities","Suspensions","Percent","16.4"
"Hamden School District","900935650","2012-2013","Students with Disabilities","Suspensions","Percent","15.2"
"Hamden School District","900935650","2013-2014","Students with Disabilities","Suspensions","Percent","15.2"
"Hamden School District","900935650","2014-2015","Students with Disabilities","Suspensions","Percent","15.1"
"Hamden School District","900935650","2015-2016","Students with Disabilities","Suspensions","Percent","15.2"
"Hamden School District","900935650","2016-2017","Students with Disabilities","Suspensions","Percent","15.2"
"Hamden School District","900935650","2017-2018","Students with Disabilities","Suspensions","Percent","14.5"
"Hampton School District","","2009-2010","Students with Disabilities","Suspensions","Percent","-9999"
"Hampton School District","","2010-2011","Students with Disabilities","Suspensions","Percent","-9999"
"Hampton School District","","2011-2012","Students with Disabilities","Suspensions","Percent","-9999"
"Hampton School District","","2012-2013","Students with Disabilities","Suspensions","Percent","-9999"
"Hampton School District","","2013-2014","Students with Disabilities","Suspensions","Percent","-6666"
"Hampton School District","","2014-2015","Students with Disabilities","Suspensions","Percent","-6666"
"Hampton School District","","2015-2016","Students with Disabilities","Suspensions","Percent","-9999"
"Hampton School District","","2016-2017","Students with Disabilities","Suspensions","Percent","-6666"
"Hampton School District","","2017-2018","Students with Disabilities","Suspensions","Percent","-6666"
"Hartford School District","900337070","2009-2010","Students with Disabilities","Suspensions","Percent","23.3"
"Hartford School District","900337070","2010-2011","Students with Disabilities","Suspensions","Percent","19.9"
"Hartford School District","900337070","2011-2012","Students with Disabilities","Suspensions","Percent","20.4"
"Hartford School District","900337070","2012-2013","Students with Disabilities","Suspensions","Percent","20.7"
"Hartford School District","900337070","2013-2014","Students with Disabilities","Suspensions","Percent","20.8"
"Hartford School District","900337070","2014-2015","Students with Disabilities","Suspensions","Percent","20.1"
"Hartford School District","900337070","2015-2016","Students with Disabilities","Suspensions","Percent","18.5"
"Hartford School District","900337070","2016-2017","Students with Disabilities","Suspensions","Percent","18.1"
"Hartford School District","900337070","2017-2018","Students with Disabilities","Suspensions","Percent","16.1"
"Hartland School District","","2009-2010","Students with Disabilities","Suspensions","Percent","-9999"
"Hartland School District","","2010-2011","Students with Disabilities","Suspensions","Percent","-6666"
"Hartland School District","","2011-2012","Students with Disabilities","Suspensions","Percent","-6666"
"Hartland School District","","2012-2013","Students with Disabilities","Suspensions","Percent","-6666"
"Hartland School District","","2013-2014","Students with Disabilities","Suspensions","Percent","-9999"
"Hartland School District","","2014-2015","Students with Disabilities","Suspensions","Percent","-6666"
"Hartland School District","","2015-2016","Students with Disabilities","Suspensions","Percent","-6666"
"Hartland School District","","2016-2017","Students with Disabilities","Suspensions","Percent","-9999"
"Hartland School District","","2017-2018","Students with Disabilities","Suspensions","Percent","-6666"
"Hebron School District","","2009-2010","Students with Disabilities","Suspensions","Percent","-6666"
"Hebron School District","","2010-2011","Students with Disabilities","Suspensions","Percent","-6666"
"Hebron School District","","2011-2012","Students with Disabilities","Suspensions","Percent","-9999"
"Hebron School District","","2012-2013","Students with Disabilities","Suspensions","Percent","-9999"
"Hebron School District","","2013-2014","Students with Disabilities","Suspensions","Percent","-9999"
"Hebron School District","","2014-2015","Students with Disabilities","Suspensions","Percent","-9999"
"Hebron School District","","2015-2016","Students with Disabilities","Suspensions","Percent","-9999"
"Hebron School District","","2016-2017","Students with Disabilities","Suspensions","Percent","-9999"
"Hebron School District","","2017-2018","Students with Disabilities","Suspensions","Percent","-9999"
"Highville Charter School District","","2009-2010","Students with Disabilities","Suspensions","Percent","-9999"
"Highville Charter School District","","2010-2011","Students with Disabilities","Suspensions","Percent","-9999"
"Highville Charter School District","","2011-2012","Students with Disabilities","Suspensions","Percent","-9999"
"Highville Charter School District","","2012-2013","Students with Disabilities","Suspensions","Percent","-9999"
"Highville Charter School District","","2013-2014","Students with Disabilities","Suspensions","Percent","-9999"
"Highville Charter School District","","2014-2015","Students with Disabilities","Suspensions","Percent","-9999"
"Highville Charter School District","","2015-2016","Students with Disabilities","Suspensions","Percent","33.3"
"Highville Charter School District","","2016-2017","Students with Disabilities","Suspensions","Percent","35.3"
"Highville Charter School District","","2017-2018","Students with Disabilities","Suspensions","Percent","35.5"
"Integrated Day Charter School District","","2009-2010","Students with Disabilities","Suspensions","Percent","-9999"
"Integrated Day Charter School District","","2010-2011","Students with Disabilities","Suspensions","Percent","-9999"
"Integrated Day Charter School District","","2011-2012","Students with Disabilities","Suspensions","Percent","-9999"
"Integrated Day Charter School District","","2012-2013","Students with Disabilities","Suspensions","Percent","-9999"
"Integrated Day Charter School District","","2013-2014","Students with Disabilities","Suspensions","Percent","-9999"
"Integrated Day Charter School District","","2014-2015","Students with Disabilities","Suspensions","Percent","-9999"
"Integrated Day Charter School District","","2015-2016","Students with Disabilities","Suspensions","Percent","-9999"
"Integrated Day Charter School District","","2016-2017","Students with Disabilities","Suspensions","Percent","-9999"
"Integrated Day Charter School District","","2017-2018","Students with Disabilities","Suspensions","Percent","-9999"
"Interdistrict School for Arts and Comm District","","2009-2010","Students with Disabilities","Suspensions","Percent","34.5"
"Interdistrict School for Arts and Comm District","","2010-2011","Students with Disabilities","Suspensions","Percent","-9999"
"Interdistrict School for Arts and Comm District","","2011-2012","Students with Disabilities","Suspensions","Percent","38.2"
"Interdistrict School for Arts and Comm District","","2012-2013","Students with Disabilities","Suspensions","Percent","16.7"
"Interdistrict School for Arts and Comm District","","2013-2014","Students with Disabilities","Suspensions","Percent","25.0"
"Interdistrict School for Arts and Comm District","","2014-2015","Students with Disabilities","Suspensions","Percent","38.5"
"Interdistrict School for Arts and Comm District","","2015-2016","Students with Disabilities","Suspensions","Percent","26.5"
"Interdistrict School for Arts and Comm District","","2016-2017","Students with Disabilities","Suspensions","Percent","-9999"
"Interdistrict School for Arts and Comm District","","2017-2018","Students with Disabilities","Suspensions","Percent","21.4"
"Jumoke Academy District","","2009-2010","Students with Disabilities","Suspensions","Percent","-9999"
"Jumoke Academy District","","2010-2011","Students with Disabilities","Suspensions","Percent","-9999"
"Jumoke Academy District","","2011-2012","Students with Disabilities","Suspensions","Percent","-6666"
"Jumoke Academy District","","2012-2013","Students with Disabilities","Suspensions","Percent","-9999"
"Jumoke Academy District","","2013-2014","Students with Disabilities","Suspensions","Percent","-9999"
"Jumoke Academy District","","2014-2015","Students with Disabilities","Suspensions","Percent","16.3"
"Jumoke Academy District","","2015-2016","Students with Disabilities","Suspensions","Percent","12.8"
"Jumoke Academy District","","2016-2017","Students with Disabilities","Suspensions","Percent","14.9"
"Jumoke Academy District","","2017-2018","Students with Disabilities","Suspensions","Percent","21.7"
"Kent School District","","2009-2010","Students with Disabilities","Suspensions","Percent","-6666"
"Kent School District","","2010-2011","Students with Disabilities","Suspensions","Percent","-6666"
"Kent School District","","2011-2012","Students with Disabilities","Suspensions","Percent","-6666"
"Kent School District","","2012-2013","Students with Disabilities","Suspensions","Percent","-6666"
"Kent School District","","2013-2014","Students with Disabilities","Suspensions","Percent","-6666"
"Kent School District","","2014-2015","Students with Disabilities","Suspensions","Percent","-6666"
"Kent School District","","2015-2016","Students with Disabilities","Suspensions","Percent","-9999"
"Kent School District","","2016-2017","Students with Disabilities","Suspensions","Percent","-9999"
"Kent School District","","2017-2018","Students with Disabilities","Suspensions","Percent","-9999"
"Killingly School District","901540500","2009-2010","Students with Disabilities","Suspensions","Percent","9.0"
"Killingly School District","901540500","2010-2011","Students with Disabilities","Suspensions","Percent","11.8"
"Killingly School District","901540500","2011-2012","Students with Disabilities","Suspensions","Percent","8.6"
"Killingly School District","901540500","2012-2013","Students with Disabilities","Suspensions","Percent","15.0"
"Killingly School District","901540500","2013-2014","Students with Disabilities","Suspensions","Percent","10.2"
"Killingly School District","901540500","2014-2015","Students with Disabilities","Suspensions","Percent","11.5"
"Killingly School District","901540500","2015-2016","Students with Disabilities","Suspensions","Percent","8.3"
"Killingly School District","901540500","2016-2017","Students with Disabilities","Suspensions","Percent","14.4"
"Killingly School District","901540500","2017-2018","Students with Disabilities","Suspensions","Percent","12.0"
"Learn","","2009-2010","Students with Disabilities","Suspensions","Percent","-9999"
"Learn","","2010-2011","Students with Disabilities","Suspensions","Percent","-9999"
"Learn","","2011-2012","Students with Disabilities","Suspensions","Percent","2.8"
"Learn","","2012-2013","Students with Disabilities","Suspensions","Percent","8.1"
"Learn","","2013-2014","Students with Disabilities","Suspensions","Percent","8.4"
"Learn","","2014-2015","Students with Disabilities","Suspensions","Percent","9.4"
"Learn","","2015-2016","Students with Disabilities","Suspensions","Percent","8.5"
"Learn","","2016-2017","Students with Disabilities","Suspensions","Percent","10.3"
"Learn","","2017-2018","Students with Disabilities","Suspensions","Percent","15.2"
"Lebanon School District","901142390","2009-2010","Students with Disabilities","Suspensions","Percent","3.1"
"Lebanon School District","901142390","2010-2011","Students with Disabilities","Suspensions","Percent","-9999"
"Lebanon School District","901142390","2011-2012","Students with Disabilities","Suspensions","Percent","7.0"
"Lebanon School District","901142390","2012-2013","Students with Disabilities","Suspensions","Percent","3.1"
"Lebanon School District","901142390","2013-2014","Students with Disabilities","Suspensions","Percent","-9999"
"Lebanon School District","901142390","2014-2015","Students with Disabilities","Suspensions","Percent","-9999"
"Lebanon School District","901142390","2015-2016","Students with Disabilities","Suspensions","Percent","3.4"
"Lebanon School District","901142390","2016-2017","Students with Disabilities","Suspensions","Percent","6.1"
"Lebanon School District","901142390","2017-2018","Students with Disabilities","Suspensions","Percent","12.3"
"Ledyard School District","901142600","2009-2010","Students with Disabilities","Suspensions","Percent","7.2"
